country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Iraq	0.14	0.13	0.18	0.16	0.67	0.86	0.91	0.94	0.87	0.87	0.83	0.78	0.74	0.7	0.72	0.74	0.76	0.78	0.76	0.81	0.78	0.76	0.73	0.7	0.68	0.65	0.58	0.54	0.65	0.73	0.72	0.77
Ireland	0.34	0.36	0.43	0.42	0.45	0.45	0.44	0.44	0.43	0.65	0.65	0.67	0.68	0.7	0.71	0.73	0.74	0.76	0.84	0.86	0.86	0.84	0.83	0.86	0.89	0.9	0.91	0.92	0.93	0.94	0.94	0.95
Israel	0.84	0.91	0.92	0.89	0.87	0.85	0.92	0.92	0.92	0.92	0.93	0.94	0.95	0.96	0.95	0.96	0.94	0.95	0.96	0.96	0.96	0.95	0.97	0.95	0.96	0.93	0.96	0.96	0.96	0.95	0.95	0.94
Italy					0.1	0.12	0.98	0.88	0.85	0.85	0.83	0.95	0.95	0.95	0.95	0.95	0.96	0.95	0.95	0.95	0.87	0.93	0.93	0.96	0.94	0.95	0.96	0.97	0.96	0.96	0.96	0.96
Jamaica	0.24	0.39	0.34	0.51	0.58	0.6	0.74	0.81	0.82	0.85	0.86	0.85	0.84	0.91	0.93	0.9	0.92	0.9	0.86	0.89	0.93	0.99	0.98	0.95	0.97	0.99	0.99	0.99	0.99	0.99	0.99	0.99
Japan	0.6	0.75	0.81	0.8	0.82	0.83	0.84	0.85	0.86	0.87	0.9	0.92	0.87	0.85	0.8	0.74	0.99	0.7	0.75	0.8	0.85	0.95	0.96	0.97	0.99	0.98	0.98	0.98	0.98	0.98	0.98	0.98
Jordan	0.3	0.81	0.75	0.76	0.81	0.85	0.88	0.9	0.93	0.94	0.92	0.92	0.92	0.91	0.94	0.95	0.96	0.99	0.99	0.85	0.91	0.99	0.95	0.97	0.95	0.95	0.98	0.98	0.97	0.98	0.98	0.98
Kazakhstan													0.81	0.76	0.76	0.93	0.95	0.97	0.99	0.98	0.97	0.95	0.95	0.99	0.82	0.98	0.99	0.93	0.99	0.98	0.99	0.99
Kenya					0.58	0.7	0.72	0.77	0.82	0.83	0.84	0.86	0.87	0.89	0.92	0.94	0.87	0.79	0.81	0.82	0.82	0.8	0.84	0.73	0.73	0.76	0.8	0.81	0.85	0.84	0.83	0.88
Kiribati	0.43	0.29	0.53	0.4	0.18	0.37	0.37	0.36	0.63	0.79	0.97	0.7	0.86	0.99	0.71	0.6	0.79	0.91	0.88	0.78	0.9	0.85	0.77	0.7	0.62	0.79	0.86	0.94	0.82	0.86	0.91	0.99
Kuwait	0.67	0.79	0.83	0.89	0.89	0.9	0.91	0.92	0.94	0.94	0.71	0.8	0.88	0.97	0.99	0.99	0.99	0.96	0.95	0.94	0.98	0.99	0.99	0.99	0.98	0.99	0.99	0.99	0.99	0.99	0.98	0.99
Kyrgyz Republic													0.84	0.64	0.82	0.93	0.98	0.98	0.97	0.99	0.99	0.99	0.98	0.98	0.99	0.98	0.92	0.94	0.95	0.95	0.96	0.96
Lao		0.07	0.07	0.07	0.05	0.04	0.05	0.1	0.17	0.21	0.18	0.22	0.23	0.25	0.48	0.54	0.58	0.6	0.54	0.55	0.51	0.52	0.53	0.49	0.45	0.49	0.57	0.5	0.61	0.67	0.74	0.78
Latvia													0.87	0.8	0.97	0.98	0.93	0.92	0.94	0.95	0.96	0.97	0.97	0.98	0.99	0.99	0.98	0.98	0.97	0.95	0.89	0.94
Lebanon	0	0.02	0.04	0.04	0.04	0.17	0.3	0.46	0.63	0.79	0.82	0.86	0.9	0.91	0.92	0.93	0.93	0.92	0.89	0.86	0.83	0.8	0.77	0.74	0.75	0.77	0.78	0.8	0.81	0.81	0.81	0.81
Lesotho	0.56	0.56	0.61	0.66	0.74	0.82	0.81	0.79	0.8	0.81	0.82	0.84	0.85	0.86	0.87	0.88	0.87	0.87	0.88	0.88	0.83	0.78	0.84	0.9	0.89	0.87	0.86	0.84	0.83	0.83	0.83	0.83
Liberia																				0.5	0.46	0.42	0.39	0.35	0.31	0.6	0.6	0.6	0.64	0.64	0.47	0.49
Libya	0.6	0.67	0.72	0.79	0.81	0.81	0.82	0.82	0.84	0.87	0.84	0.87	0.9	0.96	0.95	0.95	0.96	0.96	0.95	0.94	0.94	0.94	0.93	0.95	0.97	0.98	0.98	0.98	0.98	0.98	0.98	0.98
Lithuania													0.78	0.83	0.83	0.9	0.91	0.9	0.93	0.93	0.94	0.95	0.95	0.94	0.94	0.94	0.94	0.95	0.96	0.98	0.95	0.92
Luxembourg				0.75	0.68	0.77	0.86	0.95	0.9	0.9	0.9	0.91	0.93	0.94	0.95	0.97	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
Madagascar			0.15	0.23	0.19	0.23	0.3	0.35	0.42	0.45	0.46	0.53	0.65	0.66	0.66	0.57	0.49	0.49	0.52	0.55	0.57	0.59	0.61	0.63	0.72	0.82	0.83	0.84	0.77	0.83	0.85	0.89
Malawi	0.58	0.66	0.64	0.63	0.58	0.55	0.57	0.78	0.82	0.87	0.87	0.87	0.87	0.91	0.82	0.89	0.9	0.95	0.96	0.85	0.75	0.9	0.64	0.84	0.89	0.93	0.99	0.87	0.91	0.93	0.93	0.97
Malaysia	0.67	0.66	0.73	0.58	0.54	0.57	0.62	0.69	0.68	0.84	0.9	0.92	0.94	0.91	0.95	0.94	0.94	0.95	0.94	0.93	0.95	0.95	0.96	0.96	0.94	0.95	0.9	0.9	0.96	0.95	0.94	0.99
Maldives	0.04	0.01	0.01	0.13	0.24	0.28	0.42	0.42	0.86	0.91	0.94	0.98	0.98	0.9	0.96	0.94	0.97	0.97	0.97	0.97	0.98	0.98	0.98	0.98	0.96	0.98	0.98	0.98	0.98	0.98	0.96	0.96
Mali						0.08	0.08	0.08	0.18	0.26	0.42	0.34	0.38	0.46	0.39	0.49	0.53	0.52	0.52	0.4	0.43	0.49	0.61	0.63	0.69	0.77	0.78	0.74	0.74	0.73	0.76	0.72
Malta					0.5	0.37	0.86	0.87	0.87	0.47	0.63	0.86	0.82	0.83	0.88	0.92	0.92	0.92	0.92	0.93	0.94	0.95	0.95	0.94	0.89	0.92	0.85	0.74	0.72	0.73	0.76	0.96
Marshall Islands									0.92	0.92	0.92	0.71	0.82	0.56	0.67	0.7	0.78	0.78	0.86	0.66	0.39	0.48	0.8	0.68	0.64	0.77	0.74	0.93	0.95	0.96	0.94	0.94
Mauritania		0.18	0.2	0.2	0.21	0.27	0.32	0.3	0.28	0.28	0.33	0.29	0.39	0.44	0.5	0.55	0.5	0.28	0.16	0.32	0.53	0.72	0.83	0.76	0.7	0.71	0.68	0.75	0.74	0.64	0.64	0.75
Mauritius	0.89	0.82	0.94	0.89	0.85	0.88	0.86	0.84	0.86	0.85	0.85	0.91	0.88	0.88	0.89	0.93	0.89	0.9	0.89	0.85	0.88	0.92	0.88	0.92	0.98	0.97	0.97	0.97	0.99	0.99	0.99	0.98
Mexico	0.44	0.43	0.4	0.41	0.52	0.4	0.51	0.62	0.6	0.65	0.53	0.88	0.9	0.82	0.91	0.91	0.95	0.95	0.96	0.96	0.97	0.97	0.97	0.98	0.98	0.98	0.98	0.98	0.96	0.95	0.95	0.97
Micronesia, Fed. Sts.								0.57	0.85	0.95	0.85	0.79	0.91	0.78	0.81	0.83	0.79	0.75	0.8	0.76	0.85	0.75	0.84	0.92	0.78	0.94	0.67	0.79	0.85	0.91	0.85	0.84
Moldova													0.84	0.7	0.86	0.96	0.97	0.97	0.97	0.97	0.95	0.97	0.97	0.98	0.98	0.98	0.97	0.96	0.95	0.85	0.9	0.93
Monaco									0.99	0.99	0.99	0.98	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
